name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Divine Smiles,"358 Cambridge Rd, Woburn, MA 01801, United States",divinesmiles.com,+1 781-523-2558,106,5.0,42.4612521,-71.2361195
Tanks-a-Lot,"110 School St, Everett, MA 02149, United States",tanksalotremoval.com,+1 617-666-0177,70,4.2,42.4057217,-71.130018
Boston Dental,"36 Chauncy St, Boston, MA 02111, United States",bostondental.com,+1 617-338-5000,295,4.6,42.3538708,-71.1318071
Boston Dental,"35 Court St, Boston, MA 02108, United States",bostondental.com,+1 617-402-5000,132,4.9,42.3538708,-71.1318071
Boston Smiles,"151 Merrimac St Suite 100, Boston, MA 02114, United States",bostonsmilesdental.com,+1 617-982-2233,242,4.8,42.3538708,-71.1318071
Dental Partners of Boston - Fort Point,"46 Farnsworth St, Boston, MA 02210, United States",dentalpartnersofboston.com,+1 617-752-7752,57,4.8,42.3538708,-71.1318071
Dental Arts of Boston,"26 Marlborough St, Boston, MA 02116, United States",bostoncosmeticdentistma.com,+1 617-266-0441,192,4.9,42.3538708,-71.1318071
New England Dental Group,"811 Boylston St 3rd floor, Boston, MA 02116, United States",newenglanddentalgroup.com,+1 617-267-3993,347,4.9,42.3538708,-71.1318071
Dental Associates of New England,"585 Boylston St # 2, Boston, MA 02116, United States",bostonsmile.com,+1 857-350-3400,77,4.9,42.3538708,-71.1318071
South Boston Dental Group,"29 Farragut Rd # D, Boston, MA 02127, United States",southbostondental.com,+1 617-268-1030,349,4.9,42.3538708,-71.1318071
Boston Dental,"22 Boston Wharf Rd, Boston, MA 02210, United States",bostondental.com,+1 617-706-5000,101,5.0,42.3538708,-71.1318071
"Boston Premier Dentistry, PC","10 Tremont St UNIT 402, Boston, MA 02108, United States",,+1 617-523-2459,46,5.0,42.3538708,-71.1318071
CITIDental,"63 Court St, Boston, MA 02108, United States",citidentalboston.com,+1 617-723-6300,314,4.5,42.3538708,-71.1318071
South End Dental Arts,"544 Tremont St, Boston, MA 02116, United States",southenddentalarts.com,+1 617-357-4943,26,4.0,42.3538708,-71.1318071
East Boston Dental Associates,"3 Meridian St, Boston, MA 02128, United States",,+1 617-569-7300,161,4.8,42.3538708,-71.1318071
Faneuil Hall Dental Associates,"1 McKinley Square Lobby B, Boston, MA 02109, United States",fhdental.com,+1 617-523-4444,154,5.0,42.3538708,-71.1318071
South Boston Family Dental,"591 E Broadway, Boston, MA 02127, United States",southbostonfamilydental.com,+1 617-268-5638,450,4.8,42.3538708,-71.1318071
New England Dental Group,"1 Milk St, Boston, MA 02109, United States",newenglanddentalgroup.com,+1 617-892-4411,75,4.7,42.3538708,-71.1318071
Seaport Dental Associates Boston,"451 D St #200, Boston, MA 02210, United States",seaportdental.com,+1 617-737-6453,260,4.9,42.3538708,-71.1318071
Beacon Hill Dental Associates,"77 Beacon St, Boston, MA 02108, United States",beaconhilldentalassociates.com,+1 617-523-1910,44,4.8,42.3538708,-71.1318071
Commonwealth Dental Group,"400 Commonwealth Ave 3rd floor, Boston, MA 02215, United States",cdgboston.com,+1 617-266-8770,135,4.8,42.3538708,-71.1318071
Mass Dental Associates,"1313 Washington St, Boston, MA 02118, United States",massdentalassociates.net,+1 617-859-3939,122,4.3,42.3538708,-71.1318071
Commonwealth Dental Group,"400 Commonwealth Ave 3rd floor, Boston, MA 02215, United States",cdgboston.com,+1 617-266-8770,135,4.8,42.3538708,-71.1318071
Great Hill Dental - Boston,"1610 Tremont St, Boston, MA 02120, United States",boston.greathilldental.com,+1 617-379-1966,427,4.6,42.3337321,-71.176046
Dental Partners of Boston at Prudential Center,"800 Boylston St 2nd floor, Boston, MA 02199, United States",dentalpartnersofboston.com,+1 617-829-9744,309,4.7,42.3337321,-71.176046
Mass Dental Associates,"1313 Washington St, Boston, MA 02118, United States",massdentalassociates.net,+1 617-859-3939,122,4.3,42.3337321,-71.176046
Gentle Dental South Boston,"368A W Broadway, Boston, MA 02127, United States",gentledental.com,+1 617-934-2469,218,4.7,42.3378589,-71.1212204
AP Dental Center,"231 Border St B, Boston, MA 02128, United States",apdentalcenter.com,+1 617-315-1515,306,4.8,42.3378589,-71.1212204
Dental Partners of Boston at Charles River,"50 Staniford St #303, Boston, MA 02114, United States",dentalpartnersofboston.com,+1 617-812-2071,171,4.7,42.3378589,-71.1212204
Beacon Hill Dental Associates,"77 Beacon St, Boston, MA 02108, United States",beaconhilldentalassociates.com,+1 617-523-1910,44,4.8,42.3378589,-71.1212204
Ace Dental Boston- Hyde Park,"1138 River St, Boston, MA 02136, United States",acedentalboston.com,+1 617-361-5020,1035,4.9,42.257002,-71.192009
Dr. Dental: Dentistry & Braces,"45 Maverick Square, East Boston, MA 02128, United States",mydrdental.com,+1 617-567-3800,454,4.6,42.3694004,-71.1109755
Back Bay Dental Associates,"745 Boylston St Suite 206, Boston, MA 02116, United States",backbaydental.doctormmdev2.com,+1 617-536-4545,18,4.6,42.349494,-71.1527182
CITIDental South Boston,"141 Dorchester Ave, Boston, MA 02127, United States",citidentalsouthboston.com,+1 617-482-7300,162,4.8,42.349494,-71.1527182
East Boston Family Dental Center: Rahmatpour Mehdi DDS,"79 Meridian St, Boston, MA 02128, United States",,+1 617-567-8882,20,1.2,42.3722821,-71.1109191
Boston Teeth Associates,"359 Boylston St, Boston, MA 02116, United States",bostonteeth.com,+1 617-262-1422,5,5.0,42.3519619,-71.1437165
Devonshire Dental of Boston,"185 Devonshire St STE 410, Boston, MA 02110, United States",devonshiredental.net,+1 617-350-7474,483,5.0,42.3519619,-71.1437165
Dental Care at South Boston Community Health Center,"Dental Department, 386 W Broadway, Boston, MA 02127, United States",sbchc.org,+1 617-464-5825,9,4.1,42.3519619,-71.1437165
