name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Feels Good Dental,"2500 Lemoine Ave Ste 403, Fort Lee, NJ 07024, États-Unis",fsgdental.com,+1 201-399-4860,18,5.0,40.8650294,-74.1050212
BOOM Smiles Secaucus,"333 Meadowlands Pkwy, Secaucus, NJ 07094, États-Unis",boomsmilesgroup.com,+1 201-864-2600,40,4.8,40.7795601,-74.226437
NYC Dental Center,"216 E 39th St #1, New York, NY 10016, États-Unis",weence.com,+1 646-861-3070,136,4.4,40.7483698,-74.1194064
Expert Dental PC,"110 E 40th St #104, New York, NY 10016, États-Unis",expertdentalnyc.com,+1 212-682-2965,1,4.5,40.7483698,-74.1194064
"New York Dental Office, PC","274 Madison Ave #1702, New York, NY 10016, États-Unis",274madisondental.com,+1 212-889-8870,154,4.7,40.7483698,-74.1194064
New York Dental Office,"245 E 63rd St #110, New York, NY 10065, États-Unis",newyorkdentaloffice.com,+1 212-548-3261,323,4.9,40.7483698,-74.1194064
New York General Dentistry,"133 E 58th St Ste 409, New York, NY 10022, États-Unis",newyorkgeneraldentistry.com,+1 212-838-0842,300,5.0,40.7483698,-74.1194064
United Dental Group E 46th St.,"4 E 46th St 2nd Floor, New York, NY 10176, États-Unis",uniteddentalgroup.com,+1 212-904-0300,171,4.6,40.7483698,-74.1194064
National Dental Bronx,"2535 Grand Concourse, Bronx, NY 10468, États-Unis",lovenationaldental.com,+1 718-365-4900,417,4.0,40.8634586,-74.0410675
National Dental Chelsea,"241 W 30th St, New York, NY 10001, États-Unis",lovenationaldental.com,+1 917-351-0200,407,4.1,40.7492078,-74.1380327
