name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Texas Dental,"5132 Village Creek Dr, Plano, TX 75093, États-Unis",texasdentalpa.com,+1 972-381-1888,1,4.9,33.014556,-101.4164678
North Texas Dental,"2515 Masters St, Sherman, TX 75090, États-Unis",ntdsherman.com,+1 903-893-2800,1,4.9,33.014556,-101.4164678
Dentist in Texas,"999 Texas Ave, Houston, TX 77001, États-Unis",,+1 786-472-2004,,,33.014556,-101.4164678
Dentist,"Austin, Texas 78723, États-Unis",,,,,33.014556,-101.4164678
Emergency Dental Care USA,"5959 W Loop S #520, Bellaire, TX 77401, États-Unis",emergencydental.com,+1 713-893-5057,498,4.4,33.014556,-101.4164678
Texas Dental Arts,"9525 N Beach St #429, Fort Worth, TX 76244, États-Unis",texasdentalarts.com,+1 817-431-1860,50,5.0,33.014556,-101.4164678
South Tx Dental Corporate Office,"6300 W Loop S # 650, Bellaire, TX 77401, États-Unis",southtexasdental.com,+1 713-663-7960,6,3.3,33.014556,-101.4164678
Texas Choice Dental,"19725 US-59, Humble, TX 77338, États-Unis",texaschoice.dental,+1 281-972-8000,178,4.7,33.014556,-101.4164678
Texas Sedation Dental & Implant Center,"3665 US-259, Longview, TX 75605, États-Unis",texassedationdental.com,+1 903-331-0037,871,4.9,33.014556,-101.4164678
South Texas Dental: Hoang-Ho Giang Lam DDS,"12052 East Fwy, Houston, TX 77029, États-Unis",,+1 713-451-5700,3,3.7,33.014556,-101.4164678
